"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C11,C28,C29","4","22pF","","","","MyModules:SM0603-C-JRL",""
"C2,C5","2","47pF","","","","MyModules:SM0603-C-JRL",""
"C3,C8","2","4.7pF","","","","MyModules:SM0603-C-JRL",""
"C4,C9","2","33pF","","","","MyModules:SM0603-C-JRL",""
"C6,C7,C18,C25","4","330pF","","","","MyModules:CAP-BOX-PFR-5MM",""
"C10,C23,C24","3","10μF","","","","Capacitors_SMD:c_elec_5x5.3",""
"C12,C13,C14,C15,C16,C17,C19,C20,C26,C27","10","100n","","","","MyModules:SM0603-C-JRL",""
"C21,C22","2","0.47μ","","","","MyModules:SM0603-C-JRL",""
"D1,D2,D3,D4","4","LED","","","","MyModules:3MM-LED-C1A2",""
"D5,D6,D7,D10","4","1N914","","","","MyModules:SOD323-C1A2",""
"D8,D9","2","S1BB","","","","MyModules:SMB-1C2A",""
"J1,J2,J3,J4,J5,J6","6","PJ301B","","","","MyModules:PJ-301B-JACK-SLOTS",""
"P1","1","CONN_02X05","","","","Pin_Headers:Pin_Header_Straight_2x05",""
"Q1,Q2","2","BCM857BS","","","","SMD TRAN:sot323-6",""
"Q3,Q4,Q5,Q6","4","J112","","","","MyModules:SOT23-JRL",""
"R1,R49,R70,R71","4","10K","","","","MyModules:SM0603-R-JRL",""
"R2,R3,R4,R7,R8,R24,R26,R44,R45,R47,R48,R61,R73,R74,R75,R76,R77,R78","18","100K","","","","MyModules:SM0603-R-JRL",""
"R5,R6","2","200K","","","","MyModules:SM0603-R-JRL",""
"R9","1","110K","","","","MyModules:SM0603-R-JRL",""
"R10","1","680K","","","","MyModules:SM0603-R-JRL",""
"R11","1","1M","","","","MyModules:SM0603-R-JRL",""
"R12,R54","2","1K","","","","MyModules:SM0603-R-JRL",""
"R13,R14,R18,R50","4","47K","","","","MyModules:SM0603-R-JRL",""
"R15","1","150K","","","","MyModules:SM0603-R-JRL",""
"R16","1","4.7K","","","","MyModules:SM0603-R-JRL",""
"R17","1","5.6K","","","","MyModules:SM0603-R-JRL",""
"R19","1","10K NTC","","","","MyModules:SM0805-HAND",""
"R20,R27","2","1.5K","","","","MyModules:SM0603-R-JRL",""
"R21,R28","2","1.5M","","","","MyModules:SM0603-R-JRL",""
"R22","1","8.2K","","","","MyModules:SM0603-R-JRL",""
"R23","1","1.8K","","","","MyModules:SM0603-R-JRL",""
"R25","1","820","","","","MyModules:SM0603-R-JRL",""
"R29,R35,R37,R52,R60,R63","6","68K","","","","MyModules:SM0603-R-JRL",""
"R30,R36,R38,R53,R62,R65","6","560","","","","MyModules:SM0603-R-JRL",""
"R31,R32,R39,R55,R56,R68","6","18K","","","","MyModules:SM0603-R-JRL",""
"R33,R34,R40,R46,R57,R58,R69","7","33K","","","","MyModules:SM0603-R-JRL",""
"R41","1","3.3K","","","","MyModules:SM0603-R-JRL",""
"R42,R43","2","56K","","","","MyModules:SM0603-R-JRL",""
"R51","1","330K","","","","MyModules:SM0603-R-JRL",""
"R59,R64","2","330","","","","MyModules:SM0603-R-JRL",""
"R66,R67","2","10","","","","MyModules:SM0805-HAND",""
"R72","1","270K","","","","MyModules:SM0603-R-JRL",""
"SW1","1","KS-01Q","","","","synth:KS-01Q-02-JRL",""
"TP1,TP2","2","TEST_POINT","","","","MyModules:TEST POINT",""
"U1,U2,U3,U4","4","TL072-","","","","MyModules:TSSOP8-JRL",""
"U5,U6,U7","3","LM13700","","","","MyModules:SO16-JRL",""
"U8","1","DG409","","","","MyModules:SO16-JRL",""
"U9","1","CD4052","","","","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm",""
"U10","1","CD4027","","","","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm",""
"U11","1","CD40106","","","","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm",""
"U12,U13","2","TS321","","","","TO_SOT_Packages_SMD:SOT-23-5",""
"VR1,VR2,VR3,VR4,VR6","5","50K","","","","MyModules:RV16A-41-JRL",""
"VR5,VR7","2","100K","","","","MyModules:TC33X-2",""
